"device_name","machine_definition","variable_name","value","timestamp","variable_attribute","device","machine_def","year","month","date"
"be714-em63-multi-client","M601-35","Switch_position","8","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Machine_status","0A000","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Scrap_counter","1288","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_counter","179076","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_size","32.8","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_torque","43","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_time","0.317","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_position","7.77","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Ejector_fix_deviation_torque","24.1","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Time_on_machine","01:22:18","2025-11-12 01:22:18.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-12"
"be714-em63-multi-client","M601-35","Cushion","4.99","2025-11-12 01:22:18.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-12"
"be714-em63-multi-client","M601-35","Injection_time","0.314","2025-11-12 01:22:18.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-12"
"be714-em63-multi-client","M601-35","Dosage_time","1.07","2025-11-12 01:22:18.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-12"
